src_tgt,train_seed,f1_tgt,total_training_time,inference_time
wa1_ab,3000,0.7196402549743652,2050.419209241867,0.0154488086700439
ab_wa1,3000,0.5076701641082764,2019.6431918144224,0.0140976905822753
ds_da,3000,0.952866554260254,3914.734167575836,0.0164029598236084
da_ds,3000,0.850917398929596,2886.057370662689,0.0143067836761474
dzy_fz,3000,0.9757654666900636,369.89430928230286,0.014833927154541
fz_dzy,3000,0.9268996715545654,372.0435307025909,0.0153183937072753
ri_ab,3000,0.3510169088840484,468.2012748718262,0.0140421390533447
ri_wa1,3000,0.2818431854248047,474.84251976013184,0.0139575004577636
ia_da,3000,0.8937358260154724,508.0455815792084,0.013840913772583
da_ia,3000,0.9074758291244508,1292.9259536266327,0.0155258178710937
ia_ds,3000,0.7956758141517639,834.518794298172,0.0145134925842285
ds_ia,3000,0.9653564095497132,2671.720976352692,0.0160140991210937
b2_fz,3000,0.8518825173377991,282.24309277534485,0.0140151977539062
fz_b2,3000,0.4932315349578857,314.9910798072815,0.0154504776000976
b2_dzy,3000,0.9583016633987428,275.2979733943939,0.0141596794128417
dzy_b2,3000,0.5405144095420837,307.91252160072327,0.0155379772186279
wa1_ab,1000,0.7312458753585815,2059.235748291016,0.0153789520263671
ab_wa1,1000,0.5008226037025452,2015.469515323639,0.0137104988098144
ds_da,1000,0.9703956246376038,3905.762095212936,0.015794038772583
da_ds,1000,0.8753764629364014,2873.268522262573,0.0141606330871582
dzy_fz,1000,0.994709014892578,354.15411353111267,0.014380931854248
fz_dzy,1000,0.9583016633987428,350.2956027984619,0.0154845714569091
ri_ab,1000,0.2963033616542816,446.0825843811035,0.0140049457550048
ri_wa1,1000,0.2601318359375,455.76653695106506,0.0143342018127441
ia_da,1000,0.8868476748466492,495.7625818252564,0.0144455432891845
da_ia,1000,0.7497398257255554,1290.590413570404,0.0151963233947753
ia_ds,1000,0.7794734835624695,828.1423671245575,0.0141410827636718
ds_ia,1000,0.8344762325286865,2659.295417070389,0.0158119201660156
b2_fz,1000,0.0,260.66426944732666,0.0172154903411865
fz_b2,1000,0.2241156995296478,304.6507947444916,0.0152606964111328
b2_dzy,1000,0.9433133602142334,263.1096262931824,0.0140907764434814
dzy_b2,1000,0.5171581506729126,297.489741563797,0.0153484344482421
wa1_ab,42,0.4326921701431274,2063.6057603359222,0.0162107944488525
ab_wa1,42,0.5461573600769043,2041.912125825882,0.0142381191253662
ds_da,42,0.9598934054374696,3921.009881258011,0.0167186260223388
da_ds,42,0.8536126613616943,2876.769058704376,0.0149047374725341
dzy_fz,42,0.994709014892578,373.366706609726,0.0145800113677978
fz_dzy,42,0.9495017528533936,370.233122587204,0.0160858631134033
ri_ab,42,0.2781692445278168,451.2454929351807,0.013273000717163
ri_wa1,42,0.2436983585357666,486.3084647655487,0.0167062282562255
ia_da,42,0.8949477672576904,521.1647996902466,0.0145726203918457
da_ia,42,0.9369227290153505,1298.536748170853,0.0167880058288574
ia_ds,42,0.7679494619369507,859.0352697372437,0.0144555568695068
ds_ia,42,0.929408311843872,2684.0899381637573,0.0163712501525878
b2_fz,42,0.3575548529624939,293.81349778175354,0.01466965675354
fz_b2,42,0.440906286239624,328.30854988098145,0.0170783996582031
b2_dzy,42,0.9179472923278807,296.05831384658813,0.01790452003479
dzy_b2,42,0.5092330574989319,329.8900573253632,0.0158321857452392
computers_watches,3000,0.809460461139679,796.4595627784729,0.0163609981536865
watches_computers,3000,0.7942591905593872,747.3114001750946,0.0152413845062255
